Hyperparameters,Reward Mean,Standard Deviation
"{'num_runs': 10, 'epsilon_decay': 0.9, 'learning_rate': 0.9, 'replay_buffer_size': 15000, 'batch_size': 700, 'update_frequency': 1000, 'loss_function': 'MSE', 'network_architecture': (4, 64, 64, 2)}",14.286399841308594,11.321929931640625
"{'num_runs': 10, 'epsilon_decay': 0.9, 'learning_rate': 0.9, 'replay_buffer_size': 15000, 'batch_size': 1000, 'update_frequency': 1000, 'loss_function': 'MSE', 'network_architecture': (4, 64, 64, 2)}",11.620000839233398,5.78645133972168
"{'num_runs': 10, 'epsilon_decay': 0.9, 'learning_rate': 0.9, 'replay_buffer_size': 15000, 'batch_size': 500, 'update_frequency': 1000, 'loss_function': 'MSE', 'network_architecture': (4, 64, 64, 2)}",11.62279987335205,6.857523441314697
"{'num_runs': 10, 'epsilon_decay': 0.9, 'learning_rate': 0.9, 'replay_buffer_size': 15000, 'batch_size': 1000, 'update_frequency': 10, 'loss_function': 'MSE', 'network_architecture': (4, 64, 64, 2)}",9.539199829101562,0.9358715415000916
"{'num_runs': 10, 'epsilon_decay': 0.9, 'learning_rate': 0.9, 'replay_buffer_size': 15000, 'batch_size': 1000, 'update_frequency': 50, 'loss_function': 'MSE', 'network_architecture': (4, 64, 64, 2)}",13.039599418640137,8.838973999023438
"{'num_runs': 10, 'epsilon_decay': 0.9, 'learning_rate': 0.9, 'replay_buffer_size': 15000, 'batch_size': 1000, 'update_frequency': 30, 'loss_function': 'MSE', 'network_architecture': (4, 64, 64, 2)}",11.84000015258789,7.330368995666504
"{'num_runs': 10, 'epsilon_decay': 0.9, 'learning_rate': 0.9, 'replay_buffer_size': 15000, 'batch_size': 1000, 'update_frequency': 40, 'loss_function': 'MSE', 'network_architecture': (4, 64, 64, 2)}",17.285200119018555,17.492969512939453
"{'num_runs': 10, 'epsilon_decay': 0.9, 'learning_rate': 0.9, 'replay_buffer_size': 15000, 'batch_size': 40, 'update_frequency': 40, 'loss_function': 'MSE', 'network_architecture': (4, 64, 64, 2)}",18.139202117919922,13.991122245788574
"{'num_runs': 10, 'epsilon_decay': 0.9, 'learning_rate': 0.9, 'replay_buffer_size': 15000, 'batch_size': 10, 'update_frequency': 40, 'loss_function': 'MSE', 'network_architecture': (4, 64, 64, 2)}",18.49919891357422,10.726228713989258
"{'num_runs': 10, 'epsilon_decay': 0.9, 'learning_rate': 0.9, 'replay_buffer_size': 15000, 'batch_size': 50, 'update_frequency': 40, 'loss_function': 'MSE', 'network_architecture': (4, 64, 64, 2)}",16.005998611450195,8.148934364318848
"{'num_runs': 10, 'epsilon_decay': 0.9, 'learning_rate': 0.9, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 40, 'loss_function': 'MSE', 'network_architecture': (4, 64, 64, 2)}",19.148399353027344,10.709382057189941
"{'num_runs': 10, 'epsilon_decay': 0.9, 'learning_rate': 0.9, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 40, 'loss_function': 'MSE', 'network_architecture': (4, 16, 16, 2)}",20.93920135498047,12.405107498168945
"{'num_runs': 10, 'epsilon_decay': 0.9, 'learning_rate': 0.9, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 40, 'loss_function': 'MSE', 'network_architecture': (4, 32, 32, 2)}",18.39240074157715,9.099687576293945
"{'num_runs': 10, 'epsilon_decay': 0.9, 'learning_rate': 0.9, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 40, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",19.223600387573242,9.545125961303711
"{'num_runs': 10, 'epsilon_decay': 0.99, 'learning_rate': 0.9, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 40, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",19.049598693847656,9.870624542236328
"{'num_runs': 10, 'epsilon_decay': 0.7, 'learning_rate': 0.9, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 40, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",18.72800064086914,8.885211944580078
"{'num_runs': 10, 'epsilon_decay': 0.8, 'learning_rate': 0.9, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 40, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",19.628398895263672,9.78696060180664
"{'num_runs': 10, 'epsilon_decay': 0.6, 'learning_rate': 0.9, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 40, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",19.875198364257812,10.015146255493164
"{'num_runs': 10, 'epsilon_decay': 0.5, 'learning_rate': 0.9, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 40, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",19.376401901245117,9.702728271484375
"{'num_runs': 10, 'epsilon_decay': 0.1, 'learning_rate': 0.9, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 40, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",20.48240089416504,11.152790069580078
"{'num_runs': 10, 'epsilon_decay': 0.2, 'learning_rate': 0.9, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 40, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",19.00040054321289,9.674283981323242
"{'num_runs': 10, 'epsilon_decay': 0.3, 'learning_rate': 0.9, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 40, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",17.65920066833496,8.596861839294434
"{'num_runs': 10, 'epsilon_decay': 0.01, 'learning_rate': 0.9, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 40, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",19.8064022064209,10.150397300720215
"{'num_runs': 10, 'epsilon_decay': 0.05, 'learning_rate': 0.9, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 40, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",18.756000518798828,9.124322891235352
"{'num_runs': 10, 'epsilon_decay': 0.07, 'learning_rate': 0.9, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 40, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",18.290800094604492,9.582132339477539
"{'num_runs': 10, 'epsilon_decay': 0.02, 'learning_rate': 0.9, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 40, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",18.917598724365234,9.06995964050293
"{'num_runs': 10, 'epsilon_decay': 0.09, 'learning_rate': 0.9, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 40, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",19.777599334716797,9.820897102355957
